count,series,collection,Question,Answer
2,Legend,1/1,name,"""Chief"" Jay Strongbow"
14,Raw,/25,name,"""Dirty"" Dominik Mysterio"
14,Raw,/8,name,"""Dirty"" Dominik Mysterio"
14,Raw,/5,name,"""Dirty"" Dominik Mysterio"
14,Raw,/10,name,"""Dirty"" Dominik Mysterio"
14,Raw,1/1,name,"""Dirty"" Dominik Mysterio"
14,Raw,/15,name,"""Dirty"" Dominik Mysterio"
9,Raw,/25,name,"""Dirty"" Dominik Mysterio"
9,Raw,/8,name,"""Dirty"" Dominik Mysterio"
9,Raw,/3,name,"""Dirty"" Dominik Mysterio"
9,Raw,/5,name,"""Dirty"" Dominik Mysterio"
9,Raw,/10,name,"""Dirty"" Dominik Mysterio"
9,Raw,1/1,name,"""Dirty"" Dominik Mysterio"
9,Raw,/15,name,"""Dirty"" Dominik Mysterio"
13,Raw,/15,name,"""Dirty"" Dominik Mysterio"
13,Raw,/8,name,"""Dirty"" Dominik Mysterio"
13,Raw,/5,name,"""Dirty"" Dominik Mysterio"
13,Raw,/10,name,"""Dirty"" Dominik Mysterio"
13,Raw,1/1,name,"""Dirty"" Dominik Mysterio"
7,Raw,1/1,name,"""Dirty"" Dominik Mysterio"
5,Raw,/25,name,"""Dirty"" Dominik Mysterio"
5,Raw,/8,name,"""Dirty"" Dominik Mysterio"
5,Raw,/5,name,"""Dirty"" Dominik Mysterio"
5,Raw,/10,name,"""Dirty"" Dominik Mysterio"
5,Raw,1/1,name,"""Dirty"" Dominik Mysterio"
5,Raw,/15,name,"""Dirty"" Dominik Mysterio"
8,Legend,/25,name,"""Hollywood"" Hulk Hogan"
8,Legend,/8,name,"""Hollywood"" Hulk Hogan"
8,Legend,/5,name,"""Hollywood"" Hulk Hogan"
8,Legend,/10,name,"""Hollywood"" Hulk Hogan"
8,Legend,1/1,name,"""Hollywood"" Hulk Hogan"
14,Legend,/15,name,"""Hollywood"" Hulk Hogan / The Rock"
14,Legend,/8,name,"""Hollywood"" Hulk Hogan / The Rock"
53,Legend,/25,name,"""Million Dollar Man"" Ted DiBiase"
53,Legend,/8,name,"""Million Dollar Man"" Ted DiBiase"
53,Legend,/5,name,"""Million Dollar Man"" Ted DiBiase"
53,Legend,/10,name,"""Million Dollar Man"" Ted DiBiase"
53,Legend,1/1,name,"""Million Dollar Man"" Ted DiBiase"
53,Legend,/15,name,"""Million Dollar Man"" Ted DiBiase"
5,Legend,/15,name,"""Million Dollar Man"" Ted DiBiase"
5,Legend,/6,name,"""Million Dollar Man"" Ted DiBiase"
5,Legend,/3,name,"""Million Dollar Man"" Ted DiBiase"
5,Legend,/10,name,"""Million Dollar Man"" Ted DiBiase"
5,Legend,1/1,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,/25,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,/8,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,/5,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,/10,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,1/1,name,"""Million Dollar Man"" Ted DiBiase"
18,Legend,/15,name,"""Million Dollar Man"" Ted DiBiase"
22,Legend,/15,name,"""Million Dollar Man"" Ted DiBiase"
22,Legend,/8,name,"""Million Dollar Man"" Ted DiBiase"
22,Legend,/5,name,"""Million Dollar Man"" Ted DiBiase"
22,Legend,/10,name,"""Million Dollar Man"" Ted DiBiase"
22,Legend,1/1,name,"""Million Dollar Man"" Ted DiBiase"
13,Legend,1/1,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,/25,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,/8,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,/5,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,/10,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,1/1,name,"""Mr. Perfect"" Curt Hennig"
83,Legend,/15,name,"""Mr. Perfect"" Curt Hennig"
96,Legend,/25,name,"""Ravishing"" Rick Rude"
96,Legend,/8,name,"""Ravishing"" Rick Rude"
96,Legend,/5,name,"""Ravishing"" Rick Rude"
96,Legend,/10,name,"""Ravishing"" Rick Rude"
96,Legend,1/1,name,"""Ravishing"" Rick Rude"
96,Legend,/15,name,"""Ravishing"" Rick Rude"
3,Legend,1/1,name,"""Rowdy"" Roddy Piper"
69,Legend,/25,name,"""Rowdy"" Roddy Piper"
69,Legend,/8,name,"""Rowdy"" Roddy Piper"
69,Legend,/5,name,"""Rowdy"" Roddy Piper"
69,Legend,/10,name,"""Rowdy"" Roddy Piper"
69,Legend,1/1,name,"""Rowdy"" Roddy Piper"
69,Legend,/15,name,"""Rowdy"" Roddy Piper"
30,Legend,/15,name,"""Rowdy"" Roddy Piper"
30,Legend,/6,name,"""Rowdy"" Roddy Piper"
30,Legend,/3,name,"""Rowdy"" Roddy Piper"
30,Legend,/10,name,"""Rowdy"" Roddy Piper"
30,Legend,1/1,name,"""Rowdy"" Roddy Piper"
12,Legend,1/1,name,"""Rowdy"" Roddy Piper"
99,Legend,/25,name,"""Stone Cold"" Steve Austin"
99,Legend,/8,name,"""Stone Cold"" Steve Austin"
99,Legend,/5,name,"""Stone Cold"" Steve Austin"
99,Legend,/10,name,"""Stone Cold"" Steve Austin"
99,Legend,1/1,name,"""Stone Cold"" Steve Austin"
99,Legend,/15,name,"""Stone Cold"" Steve Austin"
8,Legend,/25,name,"""Stone Cold"" Steve Austin"
8,Legend,/8,name,"""Stone Cold"" Steve Austin"
8,Legend,/5,name,"""Stone Cold"" Steve Austin"
8,Legend,/10,name,"""Stone Cold"" Steve Austin"
8,Legend,1/1,name,"""Stone Cold"" Steve Austin"
8,Legend,/15,name,"""Stone Cold"" Steve Austin"
8,Legend,/20,name,"""Stone Cold"" Steve Austin"
4,Legend,/25,name,"""Stone Cold"" Steve Austin"
4,Legend,/8,name,"""Stone Cold"" Steve Austin"
4,Legend,/5,name,"""Stone Cold"" Steve Austin"
4,Legend,/10,name,"""Stone Cold"" Steve Austin"
4,Legend,1/1,name,"""Stone Cold"" Steve Austin"
4,Legend,/15,name,"""Stone Cold"" Steve Austin"
4,Legend,/20,name,"""Stone Cold"" Steve Austin"
5,Legend,/25,name,"""Stone Cold"" Steve Austin"
5,Legend,/8,name,"""Stone Cold"" Steve Austin"
5,Legend,/5,name,"""Stone Cold"" Steve Austin"
5,Legend,/10,name,"""Stone Cold"" Steve Austin"
5,Legend,1/1,name,"""Stone Cold"" Steve Austin"
5,Legend,/15,name,"""Stone Cold"" Steve Austin"
5,Legend,/20,name,"""Stone Cold"" Steve Austin"
9,Legend,/25,name,"""Stone Cold"" Steve Austin"
9,Legend,/8,name,"""Stone Cold"" Steve Austin"
9,Legend,/5,name,"""Stone Cold"" Steve Austin"
9,Legend,/10,name,"""Stone Cold"" Steve Austin"
9,Legend,1/1,name,"""Stone Cold"" Steve Austin"
9,Legend,/15,name,"""Stone Cold"" Steve Austin"
9,Legend,/20,name,"""Stone Cold"" Steve Austin"
8,Legend,/25,name,"""Stone Cold"" Steve Austin"
8,Legend,/8,name,"""Stone Cold"" Steve Austin"
8,Legend,/5,name,"""Stone Cold"" Steve Austin"
8,Legend,/10,name,"""Stone Cold"" Steve Austin"
8,Legend,1/1,name,"""Stone Cold"" Steve Austin"
8,Legend,/15,name,"""Stone Cold"" Steve Austin"
10,Legend,1/1,name,"""Stone Cold"" Steve Austin"
5,Legend,1/1,name,"""Stone Cold"" Steve Austin"
12,Legend,1/1,name,"""Stone Cold"" Steve Austin"
2,Legend,/5,name,"""Stone Cold"" Steve Austin / The Rock"
2,Legend,1/1,name,"""Stone Cold"" Steve Austin / The Rock"
4,Legend,1/1,name,"""Superstar"" Billy Graham"
78,Legend,/25,name,"""Superstar"" Billy Graham"
78,Legend,/8,name,"""Superstar"" Billy Graham"
78,Legend,/5,name,"""Superstar"" Billy Graham"
78,Legend,/10,name,"""Superstar"" Billy Graham"
78,Legend,1/1,name,"""Superstar"" Billy Graham"
78,Legend,/15,name,"""Superstar"" Billy Graham"
47,SmackDown,/25,name,"""The American Nightmare"" Cody Rhodes"
47,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
47,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
47,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
47,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
47,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
18,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
18,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
18,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
18,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
18,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
30,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
30,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
30,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
30,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
30,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
16,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
16,SmackDown,/6,name,"""The American Nightmare"" Cody Rhodes"
16,SmackDown,/3,name,"""The American Nightmare"" Cody Rhodes"
16,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
16,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
8,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
8,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
8,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
8,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
8,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
14,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
24,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
14,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
24,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
14,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
24,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
14,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
24,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
14,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
24,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
25,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
25,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
25,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
25,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
25,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
19,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
19,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
19,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
19,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
19,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,/25,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
15,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
4,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,/25,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,/8,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,/5,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,/10,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
1,SmackDown,/15,name,"""The American Nightmare"" Cody Rhodes"
5,SmackDown,1/1,name,"""The American Nightmare"" Cody Rhodes"
7,WWE,1/1,name,"""The American Nightmare"" Cody Rhodes"
6,SmackDown / Legend,1/1,name,"""The American Nightmare"" Cody Rhodes / Dusty Rhodes"
65,WWE,/25,name,"""The Fiend"" Bray Wyatt"
65,WWE,/8,name,"""The Fiend"" Bray Wyatt"
65,WWE,/5,name,"""The Fiend"" Bray Wyatt"
65,WWE,/10,name,"""The Fiend"" Bray Wyatt"
65,WWE,1/1,name,"""The Fiend"" Bray Wyatt"
65,WWE,/15,name,"""The Fiend"" Bray Wyatt"
5,WWE,1/1,name,"""The Fiend"" Bray Wyatt"
8,SmackDown,/25,name,AJ Styles
8,SmackDown,/8,name,AJ Styles
8,SmackDown,/5,name,AJ Styles
8,SmackDown,/10,name,AJ Styles
8,SmackDown,1/1,name,AJ Styles
8,SmackDown,/15,name,AJ Styles
28,SmackDown,/25,name,AJ Styles
28,SmackDown,/8,name,AJ Styles
28,SmackDown,/5,name,AJ Styles
28,SmackDown,/10,name,AJ Styles
28,SmackDown,1/1,name,AJ Styles
28,SmackDown,/15,name,AJ Styles
28,SmackDown,/20,name,AJ Styles
36,SmackDown,/25,name,AJ Styles
36,SmackDown,/8,name,AJ Styles
36,SmackDown,/5,name,AJ Styles
36,SmackDown,/10,name,AJ Styles
36,SmackDown,1/1,name,AJ Styles
36,SmackDown,/15,name,AJ Styles
36,SmackDown,/20,name,AJ Styles
7,SmackDown,/25,name,AJ Styles
7,SmackDown,/8,name,AJ Styles
7,SmackDown,/5,name,AJ Styles
7,SmackDown,/10,name,AJ Styles
7,SmackDown,1/1,name,AJ Styles
7,SmackDown,/15,name,AJ Styles
7,SmackDown,/20,name,AJ Styles
1,SmackDown,/25,name,AJ Styles
1,SmackDown,/8,name,AJ Styles
1,SmackDown,/5,name,AJ Styles
1,SmackDown,/10,name,AJ Styles
1,SmackDown,1/1,name,AJ Styles
1,SmackDown,/15,name,AJ Styles
1,SmackDown,/20,name,AJ Styles
14,SmackDown,/15,name,AJ Styles
14,SmackDown,/8,name,AJ Styles
14,SmackDown,/5,name,AJ Styles
14,SmackDown,/10,name,AJ Styles
14,SmackDown,1/1,name,AJ Styles
1,SmackDown,1/1,name,AJ Styles
14,SmackDown,/25,name,AJ Styles
14,SmackDown,/8,name,AJ Styles
14,SmackDown,/3,name,AJ Styles
14,SmackDown,/5,name,AJ Styles
14,SmackDown,/10,name,AJ Styles
14,SmackDown,1/1,name,AJ Styles
14,SmackDown,/15,name,AJ Styles
19,Raw,/25,name,Akam
19,Raw,/8,name,Akam
19,Raw,/3,name,Akam
19,Raw,/5,name,Akam
19,Raw,/10,name,Akam
19,Raw,1/1,name,Akam
19,Raw,/15,name,Akam
49,WWE,/25,name,Alexa Bliss
49,WWE,/8,name,Alexa Bliss
49,WWE,/5,name,Alexa Bliss
49,WWE,/10,name,Alexa Bliss
49,WWE,1/1,name,Alexa Bliss
49,WWE,/15,name,Alexa Bliss
10,WWE,/25,name,Alexa Bliss
10,WWE,/8,name,Alexa Bliss
10,WWE,/5,name,Alexa Bliss
10,WWE,/10,name,Alexa Bliss
10,WWE,1/1,name,Alexa Bliss
10,WWE,/15,name,Alexa Bliss
10,WWE,/20,name,Alexa Bliss
19,WWE,/25,name,Alexa Bliss
19,WWE,/8,name,Alexa Bliss
19,WWE,/5,name,Alexa Bliss
19,WWE,/10,name,Alexa Bliss
19,WWE,1/1,name,Alexa Bliss
19,WWE,/15,name,Alexa Bliss
19,WWE,/20,name,Alexa Bliss
5,WWE,/25,name,Alexa Bliss
5,WWE,/8,name,Alexa Bliss
5,WWE,/5,name,Alexa Bliss
5,WWE,/10,name,Alexa Bliss
5,WWE,1/1,name,Alexa Bliss
5,WWE,/15,name,Alexa Bliss
29,WWE,/25,name,Alexa Bliss
29,WWE,/8,name,Alexa Bliss
29,WWE,/3,name,Alexa Bliss
29,WWE,/5,name,Alexa Bliss
29,WWE,/10,name,Alexa Bliss
29,WWE,1/1,name,Alexa Bliss
29,WWE,/15,name,Alexa Bliss
23,WWE,/15,name,Alexa Bliss
23,WWE,/8,name,Alexa Bliss
23,WWE,/5,name,Alexa Bliss
23,WWE,/10,name,Alexa Bliss
23,WWE,1/1,name,Alexa Bliss
35,WWE,/25,name,Alexa Bliss
35,WWE,/8,name,Alexa Bliss
35,WWE,/5,name,Alexa Bliss
35,WWE,/10,name,Alexa Bliss
35,WWE,1/1,name,Alexa Bliss
35,WWE,/15,name,Alexa Bliss
13,WWE,1/1,name,Alexa Bliss
52,Legend,/25,name,Alundra Blayze
52,Legend,/8,name,Alundra Blayze
52,Legend,/5,name,Alundra Blayze
52,Legend,/10,name,Alundra Blayze
52,Legend,1/1,name,Alundra Blayze
52,Legend,/15,name,Alundra Blayze
13,SmackDown,/25,name,Andrade
13,SmackDown,/8,name,Andrade
13,SmackDown,/5,name,Andrade
13,SmackDown,/10,name,Andrade
13,SmackDown,/15,name,Andrade
28,SmackDown,/25,name,Andrade
28,SmackDown,/8,name,Andrade
28,SmackDown,/5,name,Andrade
28,SmackDown,/10,name,Andrade
28,SmackDown,1/1,name,Andrade
28,SmackDown,/15,name,Andrade
28,SmackDown,/20,name,Andrade
24,NXT,/25,name,Andre Chase
24,NXT,/8,name,Andre Chase
24,NXT,/3,name,Andre Chase
