type,count,name,series,collection
5 x 7 Box Topper Cut Signatures,2,"""Chief"" Jay Strongbow",Legend,1/1
Base,14,"""Dirty"" Dominik Mysterio",Raw,/25
Base Amethyst,14,"""Dirty"" Dominik Mysterio",Raw,/8
Base Emerald,14,"""Dirty"" Dominik Mysterio",Raw,/5
Base Gold,14,"""Dirty"" Dominik Mysterio",Raw,/10
Base Platinum,14,"""Dirty"" Dominik Mysterio",Raw,1/1
Base Ruby,14,"""Dirty"" Dominik Mysterio",Raw,/15
Horizontal Autographed Memorabilia,9,"""Dirty"" Dominik Mysterio",Raw,/25
Horizontal Autographed Memorabilia Amethyst,9,"""Dirty"" Dominik Mysterio",Raw,/8
Horizontal Autographed Memorabilia Bronze FOTL,9,"""Dirty"" Dominik Mysterio",Raw,/3
Horizontal Autographed Memorabilia Emerald,9,"""Dirty"" Dominik Mysterio",Raw,/5
Horizontal Autographed Memorabilia Gold,9,"""Dirty"" Dominik Mysterio",Raw,/10
Horizontal Autographed Memorabilia Platinum,9,"""Dirty"" Dominik Mysterio",Raw,1/1
Horizontal Autographed Memorabilia Ruby,9,"""Dirty"" Dominik Mysterio",Raw,/15
Jumbo Memorabilia,13,"""Dirty"" Dominik Mysterio",Raw,/15
Jumbo Memorabilia Amethyst,13,"""Dirty"" Dominik Mysterio",Raw,/8
Jumbo Memorabilia Emerald,13,"""Dirty"" Dominik Mysterio",Raw,/5
Jumbo Memorabilia Gold,13,"""Dirty"" Dominik Mysterio",Raw,/10
Jumbo Memorabilia Platinum,13,"""Dirty"" Dominik Mysterio",Raw,1/1
Raw Logo Gems,7,"""Dirty"" Dominik Mysterio",Raw,1/1
Signature Prime Materials,5,"""Dirty"" Dominik Mysterio",Raw,/25
Signature Prime Materials Amethyst,5,"""Dirty"" Dominik Mysterio",Raw,/8
Signature Prime Materials Emerald,5,"""Dirty"" Dominik Mysterio",Raw,/5
Signature Prime Materials Gold,5,"""Dirty"" Dominik Mysterio",Raw,/10
Signature Prime Materials Platinum,5,"""Dirty"" Dominik Mysterio",Raw,1/1
Signature Prime Materials Ruby,5,"""Dirty"" Dominik Mysterio",Raw,/15
Flawless Patch Autographs,8,"""Hollywood"" Hulk Hogan",Legend,/25
Flawless Patch Autographs Amethyst,8,"""Hollywood"" Hulk Hogan",Legend,/8
Flawless Patch Autographs Emerald,8,"""Hollywood"" Hulk Hogan",Legend,/5
Flawless Patch Autographs Gold,8,"""Hollywood"" Hulk Hogan",Legend,/10
Flawless Patch Autographs Platinum,8,"""Hollywood"" Hulk Hogan",Legend,1/1
Flawless Dual Memorabilia,14,"""Hollywood"" Hulk Hogan / The Rock",Legend,/15
Flawless Dual Memorabilia Amethyst,14,"""Hollywood"" Hulk Hogan / The Rock",Legend,/8
Base Legends,53,"""Million Dollar Man"" Ted DiBiase",Legend,/25
Base Legends Amethyst,53,"""Million Dollar Man"" Ted DiBiase",Legend,/8
Base Legends Emerald,53,"""Million Dollar Man"" Ted DiBiase",Legend,/5
Base Legends Gold,53,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Base Legends Platinum,53,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
Base Legends Ruby,53,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Memorabilia,5,"""Million Dollar Man"" Ted DiBiase",Legend,/15
Flawless Memorabilia Amethyst,5,"""Million Dollar Man"" Ted DiBiase",Legend,/6
Flawless Memorabilia Emerald,5,"""Million Dollar Man"" Ted DiBiase",Legend,/3
Flawless Memorabilia Gold,5,"""Million Dollar Man"" Ted DiBiase",Legend,/10
Flawless Memorabilia Platinum,5,"""Million Dollar Man"" Ted DiBiase",Legend,1/1
Flawless Patch Autographs,18,"""Million Dollar Man"" Ted DiBiase",Legend,/25
Flawless Patch Autographs Amethyst,18,"""Million Dollar Man"" Ted DiBiase",Legend,/8
